"district","neighborhood","year","inc_disposable","inc_q1","inc_q2","inc_q3","inc_q4","inc_q5","inc_theil","inc_gini","inc_social","inc_social_far","inc_disability","inc_unemployment","inc_debt","inc_notifications"
"M Oost","RI Oost terrein",2020,44235,26,17,21,18,18,0.2,0.3,22,22,66,15,0,26
"M Oost","Rietlanden",2015,47800,16,14,17,20,33,0.16,0.31,54,36,60,50,19,16
"M Oost","Rietlanden",2016,50400,15,12,18,20,35,0.16,0.3,45,36,70,60,14,17
"M Oost","Rietlanden",2017,50700,18,14,16,20,32,0.2,0.32,57,44,70,50,14,24
"M Oost","Rietlanden",2018,53059,15,13,17,20,35,0.19,0.32,59,55,67,48,9,34
"M Oost","Rietlanden",2019,54718,15,13,17,20,35,0.18,0.32,60,60,66,44,4,39
"M Oost","Rietlanden",2020,56586,15,13,17,21,34,0.24,0.33,70,70,69,44,7,52
"M Oost","Sporenburg",2015,57500,11,11,14,18,46,0.16,0.3,33,22,100,60,22,12
"M Oost","Sporenburg",2016,61700,9,12,14,19,46,0.16,0.29,32,26,100,50,16,14
"M Oost","Sporenburg",2017,60000,10,13,14,18,45,0.15,0.29,49,46,90,50,18,18
"M Oost","Sporenburg",2018,63149,9,12,14,19,46,0.17,0.3,44,44,97,47,12,28
"M Oost","Sporenburg",2019,64779,8,12,14,19,47,0.15,0.29,44,44,95,43,5,32
"M Oost","Sporenburg",2020,66739,8,12,14,19,47,0.23,0.32,57,57,99,45,11,49
"M Oost","Steigereiland Noord",2015,48654,17,15,17,20,31,0.28,0.36,50,30,50,36,39,18
"M Oost","Steigereiland Noord",2016,50000,17,13,16,19,35,0.19,0.34,42,31,40,20,20,13
"M Oost","Steigereiland Noord",2017,51800,14,16,17,20,33,0.2,0.33,41,33,50,30,25,21
"M Oost","Steigereiland Noord",2018,53743,15,15,17,20,33,0.29,0.37,58,53,50,27,28,38
"M Oost","Steigereiland Noord",2019,54984,14,14,16,20,36,0.16,0.33,42,42,42,14,7,28
"M Oost","Steigereiland Noord",2020,56905,14,14,17,20,35,0.23,0.35,54,54,45,15,12,43
"M Oost","Steigereiland Zuid",2015,51500,16,14,15,15,40,0.15,0.3,66,46,110,50,48,12
"M Oost","Steigereiland Zuid",2016,54400,16,15,13,15,41,0.16,0.31,55,44,110,40,50,16
"M Oost","Steigereiland Zuid",2017,57300,14,14,15,14,43,0.17,0.31,88,69,100,40,39,25
"M Oost","Steigereiland Zuid",2018,57958,15,14,15,15,41,0.21,0.33,82,74,109,41,44,37
"M Oost","Steigereiland Zuid",2019,59682,14,14,15,15,42,0.23,0.33,86,82,109,38,41,45
"M Oost","Steigereiland Zuid",2020,60905,13,14,14,15,44,0.09,0.29,69,69,101,24,20,33
"M Oost","Swammerdambuurt",2015,46000,24,15,16,14,31,0.23,0.34,43,32,30,40,15,10
"M Oost","Swammerdambuurt",2016,47721,22,16,16,14,32,0.21,0.34,36,28,29,38,10,9
"M Oost","Swammerdambuurt",2017,49600,21,17,17,15,30,0.23,0.35,35,29,30,40,11,14
"M Oost","Swammerdambuurt",2018,51589,22,16,17,15,30,0.36,0.39,61,59,36,42,20,40
"M Oost","Swammerdambuurt",2019,52920,21,16,17,15,31,0.26,0.35,49,49,30,31,3,33
"M Oost","Swammerdambuurt",2020,55069,21,16,17,15,31,0.4,0.4,70,70,37,38,16,57
"M Oost","Transvaalbuurt Oost",2015,29500,38,23,17,11,11,0.14,0.28,352,264,270,110,123,80
"M Oost","Transvaalbuurt Oost",2016,31600,36,23,17,12,12,0.14,0.29,360,278,270,120,111,67
"M Oost","Transvaalbuurt Oost",2017,33200,35,22,16,15,12,0.15,0.29,370,305,250,90,109,101
"M Oost","Transvaalbuurt Oost",2018,34794,35,23,17,13,12,0.14,0.29,366,297,263,100,106,96
"M Oost","Transvaalbuurt Oost",2019,36282,34,22,17,13,14,0.09,0.27,360,299,260,92,95,95
"M Oost","Transvaalbuurt Oost",2020,38219,34,23,17,13,13,0.16,0.3,374,315,264,95,101,111
"M Oost","Transvaalbuurt West",2015,29700,36,23,18,12,11,0.13,0.27,325,243,220,90,108,46
"M Oost","Transvaalbuurt West",2016,30600,36,24,18,13,9,0.13,0.28,282,232,210,100,104,57
"M Oost","Transvaalbuurt West",2017,31800,35,23,19,12,11,0.13,0.28,293,236,210,90,89,75
"M Oost","Transvaalbuurt West",2018,33879,34,23,18,12,13,0.07,0.26,298,246,210,83,86,65
"M Oost","Transvaalbuurt West",2019,35964,34,23,19,13,11,0.2,0.3,317,267,216,88,97,87
"M Oost","Transvaalbuurt West",2020,37260,33,23,18,13,13,0.08,0.27,304,262,210,77,78,79
"M Oost","Tuindorp Amstelstation",2015,24000,50,27,12,6,5,0.07,0.19,87,72,70,20,31,12
"M Oost","Tuindorp Amstelstation",2016,23700,51,28,13,5,3,0.06,0.19,91,80,70,20,25,11
"M Oost","Tuindorp Amstelstation",2017,24800,48,30,11,7,4,0.07,0.2,95,82,70,20,28,25
"M Oost","Tuindorp Amstelstation",2018,27496,49,28,12,6,5,0.05,0.19,95,92,69,13,19,28
"M Oost","Tuindorp Amstelstation",2019,28949,48,28,12,6,6,0,0.17,88,88,65,4,7,26
"M Oost","Tuindorp Amstelstation",2020,31204,48,29,13,7,3,0.15,0.23,115,115,74,14,24,54
"M Oost","Tuindorp Frankendael",2015,30000,42,23,14,10,11,0.16,0.3,153,111,140,70,76,38
"M Oost","Tuindorp Frankendael",2016,30800,42,23,16,8,11,0.15,0.29,152,116,130,50,60,40
"M Oost","Tuindorp Frankendael",2017,32100,42,23,13,10,12,0.18,0.31,154,134,130,40,48,37
"M Oost","Tuindorp Frankendael",2018,34394,41,23,14,10,12,0.19,0.31,161,137,134,48,56,54
"M Oost","Tuindorp Frankendael",2019,36007,40,23,14,10,13,0.17,0.3,160,143,133,43,49,58
"M Oost","Tuindorp Frankendael",2020,37741,40,23,15,10,12,0.18,0.31,165,152,133,41,47,66
"M Oost","Weesperzijde Midden/Zuid",2015,38800,28,19,17,16,20,0.2,0.33,101,80,90,70,22,20
"M Oost","Weesperzijde Midden/Zuid",2016,42300,27,17,18,15,23,0.22,0.34,101,85,90,70,29,18
"M Oost","Weesperzijde Midden/Zuid",2017,45100,26,18,19,14,23,0.27,0.35,100,84,90,60,31,35
"M Oost","Weesperzijde Midden/Zuid",2018,45444,26,18,18,15,23,0.24,0.34,106,98,89,60,19,37
"M Oost","Weesperzijde Midden/Zuid",2019,47145,25,18,18,15,24,0.25,0.35,109,106,89,57,16,44
"M Oost","Weesperzijde Midden/Zuid",2020,48954,25,18,18,16,23,0.29,0.36,117,117,91,57,16,55
"M Oost","Zuidoostkwadrant Indische Buurt",2015,29100,35,24,20,12,9,0.12,0.27,255,191,200,90,126,78
"M Oost","Zuidoostkwadrant Indische Buurt",2016,30400,33,26,20,12,9,0.12,0.27,250,200,200,80,111,75
"M Oost","Zuidoostkwadrant Indische Buurt",2017,31700,33,25,19,13,10,0.13,0.28,268,222,210,70,89,104
"M Oost","Zuidoostkwadrant Indische Buurt",2018,33733,33,25,20,13,9,0.11,0.27,262,218,202,73,100,98
"M Oost","Zuidoostkwadrant Indische Buurt",2019,35340,32,25,20,13,10,0.09,0.27,261,224,201,68,93,101
"M Oost","Zuidoostkwadrant Indische Buurt",2020,37074,32,25,20,13,10,0.11,0.27,266,233,202,66,91,110
"M Oost","Zuidwestkwadrant Indische Buurt",2015,27500,38,25,19,11,7,0.1,0.25,310,249,310,110,120,91
"M Oost","Zuidwestkwadrant Indische Buurt",2016,29300,36,25,19,12,8,0.11,0.26,305,254,300,100,100,53
"M Oost","Zuidwestkwadrant Indische Buurt",2017,29900,37,24,19,12,8,0.11,0.26,324,279,290,90,98,87
"M Oost","Zuidwestkwadrant Indische Buurt",2018,32016,36,24,19,12,9,0.03,0.24,308,268,296,88,89,81
"M Oost","Zuidwestkwadrant Indische Buurt",2019,34065,36,25,19,12,8,0.14,0.27,326,287,302,93,99,101
"M Oost","Zuidwestkwadrant Indische Buurt",2020,35384,35,24,19,12,10,0.03,0.24,314,283,295,82,81,94
"N Noord","Banne Noordoost",2015,31600,27,27,21,14,11,0.1,0.24,214,161,220,70,93,71
"N Noord","Banne Noordoost",2016,32400,27,29,19,16,9,0.13,0.26,206,167,210,90,110,69
"N Noord","Banne Noordoost",2017,33500,28,27,19,16,10,0.12,0.25,211,176,210,70,83,101
"N Noord","Banne Noordoost",2018,34822,27,27,19,16,11,0.08,0.24,210,180,207,62,76,106
"N Noord","Banne Noordoost",2019,35926,26,26,19,16,13,0.05,0.23,207,185,202,54,64,116
"N Noord","Banne Noordoost",2020,37409,26,26,19,16,13,0.13,0.26,221,202,204,54,66,141
"N Noord","Banne Noordwest",2015,27800,33,30,19,13,5,0.07,0.2,192,150,150,60,98,62
"N Noord","Banne Noordwest",2016,28300,35,28,19,12,6,0.07,0.21,193,156,150,50,82,63
"N Noord","Banne Noordwest",2017,29600,36,25,21,13,5,0.08,0.21,199,167,150,60,59,98
"N Noord","Banne Noordwest",2018,30830,34,27,19,13,7,0.02,0.19,192,168,142,41,58,98
"N Noord","Banne Noordwest",2019,32547,34,27,20,14,5,0.17,0.24,215,193,148,46,69,131
"N Noord","Banne Noordwest",2020,33637,34,26,20,14,6,0.13,0.23,212,197,144,38,57,142
"N Noord","Banne Zuidoost",2015,31700,32,26,17,14,11,0.1,0.25,164,124,200,70,86,66
"N Noord","Banne Zuidoost",2016,33200,32,25,16,14,13,0.11,0.26,159,134,200,90,98,61
"N Noord","Banne Zuidoost",2017,33600,33,23,15,16,13,0.12,0.26,216,182,200,70,71,98
"N Noord","Banne Zuidoost",2018,35360,32,24,16,15,13,0.14,0.27,188,166,197,67,73,108
"N Noord","Banne Zuidoost",2019,36607,32,24,16,16,12,0.15,0.27,191,175,195,62,67,124
"N Noord","Banne Zuidoost",2020,37770,31,23,16,16,14,0.13,0.27,191,181,192,55,57,137
"N Noord","Banne Zuidwest",2015,30000,30,27,20,14,9,0.1,0.24,216,150,190,80,107,58
"N Noord","Banne Zuidwest",2016,31400,30,27,19,15,9,0.11,0.25,220,172,170,70,106,70
"N Noord","Banne Zuidwest",2017,32400,29,27,19,15,10,0.1,0.25,219,177,180,50,72,101
"N Noord","Banne Zuidwest",2018,33799,29,26,19,15,11,0.13,0.26,227,186,177,57,83,110
"N Noord","Banne Zuidwest",2019,35284,29,26,19,16,10,0.21,0.29,240,203,179,57,86,135
"N Noord","Banne Zuidwest",2020,36209,29,26,19,16,10,0.12,0.26,230,201,172,45,67,138
"N Noord","Blauwe Zand",2015,29400,33,27,18,14,8,0.09,0.23,102,77,160,50,54,35
"N Noord","Blauwe Zand",2016,30800,32,25,20,14,9,0.09,0.23,103,81,160,50,51,36
"N Noord","Blauwe Zand",2017,31300,32,27,19,13,9,0.08,0.22,104,94,170,40,45,51
"N Noord","Blauwe Zand",2018,33253,32,26,19,14,9,0.18,0.26,121,111,164,42,47,82
"N Noord","Blauwe Zand",2019,34321,32,25,19,15,9,0.13,0.25,117,114,159,33,33,92
"N Noord","Blauwe Zand",2020,35477,31,25,19,15,10,0.12,0.24,116,116,156,26,23,104
"N Noord","Bloemenbuurt Noord",2015,28400,33,27,20,12,8,0.07,0.21,154,113,170,70,76,51
"N Noord","Bloemenbuurt Noord",2016,29900,34,24,20,14,8,0.09,0.23,149,117,170,70,79,38
"N Noord","Bloemenbuurt Noord",2017,30700,33,24,20,16,7,0.08,0.22,141,121,150,60,71,103
"N Noord","Bloemenbuurt Noord",2018,32073,33,24,20,14,9,0.07,0.22,151,132,158,54,59,93
"N Noord","Bloemenbuurt Noord",2019,33055,32,24,20,14,10,0,0.2,144,133,152,43,43,99
"N Noord","Bloemenbuurt Noord",2020,34675,33,24,20,15,8,0.12,0.24,163,154,156,46,50,129
"N Noord","Bloemenbuurt Zuid",2015,26100,44,26,13,11,6,0.1,0.23,209,169,190,50,80,51
"N Noord","Bloemenbuurt Zuid",2016,27700,43,25,14,12,6,0.1,0.23,209,176,180,60,84,46
"N Noord","Bloemenbuurt Zuid",2017,28100,42,26,14,11,7,0.09,0.23,220,189,180,40,67,96
"N Noord","Bloemenbuurt Zuid",2018,29940,43,25,14,12,6,0.16,0.25,226,201,182,43,70,102
"N Noord","Bloemenbuurt Zuid",2019,31117,43,25,14,12,6,0.15,0.25,226,208,179,36,60,115
"N Noord","Bloemenbuurt Zuid",2020,32181,42,24,13,12,9,0.1,0.24,222,211,174,27,47,124
"N Noord","Buikslotermeer Noord",2015,31500,31,23,21,15,10,0.11,0.26,56,34,80,50,32,26
"N Noord","Buikslotermeer Noord",2016,32900,28,26,20,15,11,0.11,0.25,50,36,80,40,38,24
"N Noord","Buikslotermeer Noord",2017,33200,29,26,19,14,12,0.12,0.26,55,39,80,30,19,37
"N Noord","Buikslotermeer Noord",2018,34914,29,24,20,15,12,0.1,0.25,56,51,74,27,12,57
"N Noord","Buikslotermeer Noord",2019,36321,29,24,20,16,11,0.15,0.27,66,65,75,25,12,79
"N Noord","Buikslotermeer Noord",2020,37417,28,23,20,16,13,0.12,0.26,63,63,70,17,0,89
"N Noord","Buikslotermeerplein",2015,26555,42,25,16,11,6,0.14,0.26,29,16,50,31,30,0
"N Noord","Buikslotermeerplein",2016,28000,42,25,16,10,7,0.12,0.25,32,27,40,20,18,15
"N Noord","Buikslotermeerplein",2017,28600,41,24,16,12,7,0.12,0.26,26,23,50,20,13,20
"N Noord","Buikslotermeerplein",2018,29868,41,24,16,11,8,0.04,0.23,21,21,37,6,0,30
"N Noord","Buikslotermeerplein",2019,31571,41,24,16,12,7,0.19,0.28,44,44,43,10,5,63
"N Noord","Buikslotermeerplein",2020,32478,41,23,16,12,8,0.1,0.25,33,33,35,0,0,67
"N Noord","Circus/Kermisbuurt",2015,36300,17,23,24,21,15,0.08,0.22,40,30,80,40,14,19
"N Noord","Circus/Kermisbuurt",2016,36900,19,20,26,21,14,0.08,0.22,45,38,70,40,18,14
"N Noord","Circus/Kermisbuurt",2017,37200,19,23,24,21,13,0.08,0.22,48,36,80,40,16,22
"N Noord","Circus/Kermisbuurt",2018,39354,18,21,25,22,14,0.11,0.23,53,53,74,31,5,52
"N Noord","Circus/Kermisbuurt",2019,40710,18,21,25,22,14,0.15,0.25,61,61,73,28,2,72
"N Noord","Circus/Kermisbuurt",2020,41492,17,20,24,22,17,0.02,0.21,45,45,64,12,0,71
"N Noord","De Bongerd",2015,46400,11,13,18,25,33,0.09,0.24,29,19,60,40,25,23
"N Noord","De Bongerd",2016,48400,10,13,18,23,36,0.1,0.24,41,30,60,40,27,17
"N Noord","De Bongerd",2017,50900,10,12,16,24,38,0.1,0.25,46,36,60,40,20,42
"N Noord","De Bongerd",2018,50957,10,12,17,24,37,0.08,0.24,40,40,54,27,6,55
"N Noord","De Bongerd",2019,52381,10,12,17,25,36,0.14,0.26,51,51,55,25,6,77
"N Noord","De Bongerd",2020,53272,9,11,17,25,38,0.03,0.23,39,39,47,12,0,79
"N Noord","De Kleine Wereld",2015,27600,30,32,22,11,5,0.09,0.23,281,232,150,50,113,69
"N Noord","De Kleine Wereld",2016,28000,30,34,21,10,5,0.1,0.23,268,227,150,50,115,51
"N Noord","De Kleine Wereld",2017,28300,31,33,21,10,5,0.08,0.22,265,227,160,40,81,81
"N Noord","De Kleine Wereld",2018,30277,30,32,21,11,6,0.05,0.22,271,241,147,32,83,92
"N Noord","De Kleine Wereld",2019,31781,30,32,21,11,6,0.14,0.25,285,259,149,33,86,118
"N Noord","De Kleine Wereld",2020,32751,29,31,21,11,8,0.06,0.23,277,259,142,21,70,124
"N Noord","Elzenhagen Noord",2015,50000,11,13,11,25,40,0.1,0.24,17,10,50,60,11,13
"N Noord","Elzenhagen Noord",2016,52073,10,12,12,24,42,0.08,0.24,12,8,44,48,7,16
"N Noord","Elzenhagen Noord",2017,54300,10,11,14,24,41,0.11,0.25,13,11,40,40,8,25
"N Noord","Elzenhagen Noord",2018,54500,10,11,12,25,42,0.07,0.24,15,15,38,36,0,45
"N Noord","Elzenhagen Noord",2019,55777,10,11,12,25,42,0.09,0.24,19,19,37,31,0,61
"N Noord","Elzenhagen Noord",2020,56992,9,10,12,25,44,0.08,0.25,20,20,34,25,0,76
"N Noord","IJplein e.o.",2015,26100,40,28,19,9,4,0.09,0.23,212,168,200,70,77,43
"N Noord","IJplein e.o.",2016,27500,39,27,19,10,5,0.1,0.24,227,185,190,80,72,35
"N Noord","IJplein e.o.",2017,27900,40,25,20,10,5,0.09,0.23,223,196,190,70,59,59
"N Noord","IJplein e.o.",2018,29833,40,26,19,10,5,0.16,0.26,235,207,192,67,63,84
"N Noord","IJplein e.o.",2019,31157,39,26,19,11,5,0.19,0.27,242,219,192,63,59,103
"N Noord","IJplein e.o.",2020,32023,39,25,19,11,6,0.09,0.24,229,215,184,50,39,105
"N Noord","Kadoelen",2015,45000,16,18,19,16,31,0.15,0.29,30,21,70,40,12,19
"N Noord","Kadoelen",2016,48936,16,17,19,18,30,0.22,0.32,41,32,78,34,19,24
"N Noord","Kadoelen",2017,52500,15,15,18,19,33,0.18,0.31,37,30,80,20,13,16
"N Noord","Kadoelen",2018,51528,15,16,19,18,32,0.27,0.33,51,51,75,25,9,59
"N Noord","Kadoelen",2019,52154,14,15,18,18,35,0.09,0.28,28,28,63,6,0,52
"N Noord","Kadoelen",2020,53498,14,15,18,18,35,0.13,0.29,35,35,63,3,0,71
"N Noord","Loenermark",2015,27900,34,29,19,12,6,0.09,0.23,60,45,80,40,22,21
"N Noord","Loenermark",2016,28900,35,27,20,13,5,0.09,0.22,60,43,70,20,35,24
"N Noord","Loenermark",2017,29900,34,27,19,14,6,0.1,0.23,60,50,70,20,23,42
"N Noord","Loenermark",2018,31553,34,27,19,14,6,0.16,0.25,73,69,72,20,20,67
"N Noord","Loenermark",2019,32251,33,26,19,13,9,0,0.2,54,54,61,2,0,62
"N Noord","Loenermark",2020,33668,33,26,19,14,8,0.06,0.22,64,64,62,1,0,85
"N Noord","Markengouw Midden",2015,32300,25,26,22,17,10,0.1,0.24,280,199,210,80,108,67
"N Noord","Markengouw Midden",2016,34100,24,24,22,19,11,0.1,0.25,244,194,190,80,106,72
"N Noord","Markengouw Midden",2017,34800,25,24,22,18,11,0.11,0.25,224,189,170,70,78,114
"N Noord","Markengouw Midden",2018,36154,24,24,22,18,12,0.1,0.25,253,210,185,65,81,113
"N Noord","Markengouw Midden",2019,37201,24,23,22,19,12,0.05,0.23,248,212,180,55,67,122
"N Noord","Markengouw Midden",2020,38953,24,24,22,19,11,0.21,0.29,273,238,186,61,80,157
"N Noord","Markengouw Zuid",2015,29600,30,28,22,13,7,0.11,0.25,104,75,70,40,68,53
"N Noord","Markengouw Zuid",2016,30800,30,27,21,15,7,0.11,0.26,95,77,70,30,63,48
"N Noord","Markengouw Zuid",2017,35200,27,28,20,15,10,0.24,0.29,96,75,80,30,52,61
"N Noord","Markengouw Zuid",2018,34094,28,27,21,15,9,0.09,0.25,94,85,65,17,38,76
"N Noord","Markengouw Zuid",2019,35739,29,27,21,15,8,0.22,0.29,114,107,70,21,46,107
"N Noord","Markengouw Zuid",2020,36874,28,26,21,15,10,0.2,0.29,113,112,66,13,36,118
"N Noord","Molenwijk",2015,27500,33,33,17,12,5,0.07,0.2,193,152,160,70,93,57
"N Noord","Molenwijk",2016,27800,34,32,19,11,4,0.08,0.21,194,172,170,60,98,61
"N Noord","Molenwijk",2017,28400,34,32,19,10,5,0.07,0.21,225,182,170,50,83,111
"N Noord","Molenwijk",2018,30406,33,32,18,12,5,0.09,0.22,212,187,163,50,79,109
"N Noord","Molenwijk",2019,31393,33,31,18,12,6,0.02,0.2,204,188,157,39,63,115
"N Noord","Molenwijk",2020,32879,33,31,18,12,6,0.1,0.22,218,205,159,39,65,140
"N Noord","Plan van Gool",2015,28900,29,29,24,13,5,0.11,0.25,217,156,120,60,113,91
"N Noord","Plan van Gool",2016,29800,30,27,23,13,7,0.1,0.24,238,187,110,70,129,82
"N Noord","Plan van Gool",2017,30700,28,29,23,14,6,0.1,0.24,250,207,110,50,77,161
"N Noord","Plan van Gool",2018,32473,29,28,23,14,6,0.17,0.27,249,208,112,54,100,150
"N Noord","Plan van Gool",2019,33430,28,27,23,14,8,0.1,0.25,241,207,106,42,83,155
"N Noord","Plan van Gool",2020,34730,28,27,23,14,8,0.12,0.26,246,218,105,38,78,173
"N Noord","Terrasdorp",2015,28500,39,24,17,12,8,0.09,0.23,208,155,410,100,99,79
"N Noord","Terrasdorp",2016,30100,38,24,16,13,9,0.09,0.23,226,179,390,90,91,75
"N Noord","Terrasdorp",2017,30300,38,23,18,12,9,0.09,0.24,240,201,390,80,77,113
"N Noord","Terrasdorp",2018,32255,38,23,17,13,9,0.14,0.25,237,201,395,82,81,126
"N Noord","Terrasdorp",2019,33349,38,23,17,13,9,0.11,0.24,234,205,391,74,69,136
"N Noord","Terrasdorp",2020,34397,37,22,17,13,11,0.06,0.23,229,207,386,64,55,145
"N Noord","Tuindorp Nieuwendam Oost",2015,29500,34,28,17,13,8,0.09,0.22,92,68,160,60,63,35
"N Noord","Tuindorp Nieuwendam Oost",2016,30400,34,27,17,14,8,0.14,0.24,92,75,150,60,54,30
"N Noord","Tuindorp Nieuwendam Oost",2017,31200,33,28,16,13,10,0.08,0.22,111,90,160,50,43,41
"N Noord","Tuindorp Nieuwendam Oost",2018,32892,33,27,17,14,9,0.13,0.24,106,97,153,47,41,68
"N Noord","Tuindorp Nieuwendam Oost",2019,33979,33,26,16,14,11,0.09,0.23,103,101,149,38,29,78
"N Noord","Tuindorp Nieuwendam Oost",2020,35192,33,26,16,14,11,0.09,0.23,105,105,146,32,21,93
"N Noord","Tuindorp Nieuwendam West",2015,30600,28,31,18,13,10,0.08,0.21,40,26,80,20,22,15
"N Noord","Tuindorp Nieuwendam West",2016,31700,27,34,17,13,9,0.08,0.22,38,31,80,20,22,12
"N Noord","Tuindorp Nieuwendam West",2017,33000,27,32,16,15,10,0.08,0.22,46,38,70,20,14,8
"N Noord","Tuindorp Nieuwendam West",2018,34277,27,32,17,14,10,0.1,0.23,49,49,73,10,7,44
"N Noord","Tuindorp Nieuwendam West",2019,35084,26,31,16,14,13,0,0.19,34,34,64,0,0,44
"N Noord","Tuindorp Nieuwendam West",2020,36636,26,31,17,15,11,0.07,0.22,50,50,67,0,0,71
"N Noord","Tuindorp Oostzaan Oost",2015,30200,29,27,20,16,8,0.07,0.2,176,122,280,100,91,78
"N Noord","Tuindorp Oostzaan Oost",2016,31500,29,26,20,17,8,0.07,0.21,174,135,270,110,92,50
"N Noord","Tuindorp Oostzaan Oost",2017,32600,28,26,20,18,8,0.07,0.21,171,145,270,90,74,110
"N Noord","Tuindorp Oostzaan Oost",2018,33746,28,25,20,17,10,0.03,0.2,173,146,267,86,66,104
"N Noord","Tuindorp Oostzaan Oost",2019,35353,28,26,20,18,8,0.14,0.24,191,167,271,88,73,134
"N Noord","Tuindorp Oostzaan Oost",2020,36387,28,25,20,18,9,0.09,0.22,186,169,265,78,58,142
"N Noord","Tuindorp Oostzaan West",2015,30000,32,26,19,14,9,0.07,0.21,40,33,70,30,26,19
"N Noord","Tuindorp Oostzaan West",2016,31299,31,26,19,12,12,0.06,0.22,38,32,74,24,20,15
"N Noord","Tuindorp Oostzaan West",2017,32700,31,27,19,11,12,0.09,0.23,41,34,80,20,18,15
"N Noord","Tuindorp Oostzaan West",2018,33901,31,26,19,13,11,0.11,0.23,50,50,72,16,11,51
"N Noord","Tuindorp Oostzaan West",2019,35039,31,25,19,13,12,0.09,0.23,48,48,68,8,0,63
"N Noord","Tuindorp Oostzaan West",2020,36281,31,25,19,14,11,0.09,0.23,52,52,66,3,0,79
"N Noord","Twiske Oost",2015,40407,18,18,20,22,22,0.06,0.22,17,2,57,31,16,0
"N Noord","Twiske Oost",2016,40900,18,19,19,22,22,0.1,0.24,24,17,60,30,11,12
"N Noord","Twiske Oost",2017,43800,17,16,21,22,24,0.09,0.23,25,19,50,20,7,14
"N Noord","Twiske Oost",2018,44220,17,17,20,22,24,0.1,0.24,29,29,52,17,0,37
"N Noord","Twiske Oost",2019,45547,17,17,20,23,23,0.14,0.25,36,36,51,13,0,55
"N Noord","Twiske Oost",2020,47023,17,17,20,23,23,0.21,0.28,48,48,53,13,0,80
"N Noord","Twiske West",2015,46700,11,14,17,23,35,0.1,0.24,29,23,110,70,18,21
"N Noord","Twiske West",2016,49500,10,13,19,24,34,0.11,0.24,34,22,100,60,19,23
"N Noord","Twiske West",2017,50400,11,15,18,23,33,0.12,0.25,37,29,110,50,14,21
"N Noord","Twiske West",2018,51366,10,13,18,24,35,0.12,0.25,39,39,103,49,3,53
"N Noord","Twiske West",2019,52597,10,13,18,24,35,0.12,0.25,42,42,100,44,0,68
"N Noord","Twiske West",2020,53776,10,12,18,24,36,0.11,0.25,42,42,97,37,0,81
"N Noord","Van der Pekbuurt",2015,24600,46,26,15,8,5,0.11,0.25,473,344,280,120,182,111
"N Noord","Van der Pekbuurt",2016,26000,44,27,15,9,5,0.13,0.26,485,367,280,120,205,100
"N Noord","Van der Pekbuurt",2017,27100,43,26,15,10,6,0.11,0.25,530,423,300,110,175,253
"N Noord","Van der Pekbuurt",2018,28326,44,26,15,9,6,0.12,0.26,501,394,282,105,172,184
"N Noord","Van der Pekbuurt",2019,29497,44,25,15,10,6,0.1,0.25,501,401,279,98,163,198
"N Noord","Van der Pekbuurt",2020,30688,43,25,15,10,7,0.1,0.25,502,409,276,92,154,212
"N Noord","Vogelbuurt Noord",2015,28000,37,24,20,12,7,0.11,0.25,104,82,100,30,36,28
"N Noord","Vogelbuurt Noord",2016,28600,37,24,20,13,6,0.09,0.24,95,82,90,40,42,20
"N Noord","Vogelbuurt Noord",2017,29500,35,25,20,13,7,0.09,0.24,92,82,90,30,33,43
"N Noord","Vogelbuurt Noord",2018,30952,36,23,20,13,8,0.04,0.23,94,92,85,18,15,53
"N Noord","Vogelbuurt Noord",2019,32418,36,23,20,13,8,0.12,0.25,106,106,87,17,17,77
"N Noord","Vogelbuurt Noord",2020,33329,35,23,20,13,9,0.02,0.23,96,96,80,5,0,81
"N Noord","Vogelbuurt Zuid",2015,27500,39,25,17,12,7,0.11,0.25,364,289,300,90,131,106
"N Noord","Vogelbuurt Zuid",2016,28500,39,25,17,11,8,0.12,0.27,351,274,290,100,145,97
"N Noord","Vogelbuurt Zuid",2017,29400,39,25,16,12,8,0.11,0.26,352,284,280,80,119,200
"N Noord","Vogelbuurt Zuid",2018,30823,38,24,16,12,10,0.09,0.26,357,296,284,77,114,161
"N Noord","Vogelbuurt Zuid",2019,32316,39,24,17,13,7,0.17,0.28,371,314,286,77,116,187
"N Noord","Vogelbuurt Zuid",2020,33213,38,23,16,13,10,0.08,0.26,360,311,279,64,97,189
"N Noord","Werengouw Midden",2015,27700,34,27,22,12,5,0.09,0.23,318,237,230,130,157,79
"N Noord","Werengouw Midden",2016,29100,33,27,21,12,7,0.09,0.23,307,239,230,110,152,86
"N Noord","Werengouw Midden",2017,29700,34,26,22,13,5,0.09,0.23,312,258,230,100,122,152
"N Noord","Werengouw Midden",2018,31441,33,26,22,13,6,0.14,0.25,324,267,228,106,135,142
"N Noord","Werengouw Midden",2019,32254,33,25,21,13,8,0.02,0.21,310,262,219,91,112,142
"N Noord","Werengouw Midden",2020,34246,34,26,22,14,4,0.25,0.29,344,295,230,102,134,186
"N Noord","Werengouw Zuid",2015,38400,22,26,17,16,19,0.2,0.32,105,73,70,30,41,17
"N Noord","Werengouw Zuid",2016,39700,23,25,20,14,18,0.19,0.32,105,84,60,40,48,20
"N Noord","Werengouw Zuid",2017,41000,23,26,19,14,18,0.23,0.33,113,98,60,20,39,49
