"district","neighborhood","year","hou_total","hou_wheel","hou_boat","hou_sheltered","hou_protected","hou_corporation","hou_owner","hou_rented","hou_40","hou_40_60","hou_60_80","hou_80_100","hou_100","hou_occupants","hou_mar_wo","hou_mar_w","hou_unm_wo","hou_unm_w","hou_sin_wo","hou_sin_w","hou_other","hou_value","hou_value_m2","hou_satisfaction","hou_condition","hou_maintenance","hou_neighborhood","hou_development","hou_homefeel"
"A Centrum","Amstelveldbuurt",2015,915,0,45,1,0,81,399,435,116,184,180,129,306,1.66,97,70,109,29,560,34,16,498200,4413,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Amstelveldbuurt",2016,953,0,45,3,0,111,407,435,140,192,188,136,297,1.66,109,82,118,36,545,45,18,621448,5448,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Amstelveldbuurt",2017,932,0,45,1,0,81,432,419,118,183,182,135,314,1.6,106,76,114,27,561,36,12,647660,6049,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Amstelveldbuurt",2018,894,0,44,0,0,47,381,466,88,172,168,124,342,1.59,102,75,112,19,549,28,9,690836,6365,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Amstelveldbuurt",2019,931,0,45,1,0,82,354,495,114,183,176,128,330,1.62,111,87,119,34,529,39,12,826419,7284,"4.very high","4.very good","4.very good","3.high","2.low","3.high"
"A Centrum","Amstelveldbuurt",2020,950,0,45,2,0,79,403,468,112,191,191,138,318,1.64,111,83,120,37,544,37,18,815113,7655,"4.very high","4.very good","4.very good","4.very high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Noord",2015,1339,0,18,0,0,435,390,514,196,584,263,106,190,1.61,111,88,154,68,822,86,10,315274,4393,"3.high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Anjeliersbuurt Noord",2016,1378,0,19,4,1,472,423,483,224,595,276,117,166,1.65,118,105,157,79,814,92,13,365731,5209,"3.high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Anjeliersbuurt Noord",2017,1336,0,19,0,0,429,432,475,191,581,261,107,196,1.61,112,88,140,62,831,87,16,385750,5593,"3.high","2.bad","4.very good","4.very high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Noord",2018,1307,0,18,0,0,398,392,517,165,571,251,103,217,1.57,108,81,148,54,822,81,13,429078,6086,"3.high","2.bad","3.good","3.high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Noord",2019,1329,0,19,0,0,422,392,515,181,576,258,112,202,1.58,109,90,164,65,806,79,16,480146,6880,"3.high","2.bad","3.good","3.high","2.low","3.high"
"A Centrum","Anjeliersbuurt Noord",2020,1315,0,18,0,0,390,394,531,157,574,256,106,222,1.57,110,82,151,55,836,68,13,529937,7218,"3.high","2.bad","3.good","3.high","2.low","3.high"
"A Centrum","Anjeliersbuurt Zuid",2015,1991,0,11,0,2,1001,505,485,393,714,551,190,143,1.47,142,105,184,66,1328,146,20,282555,4379,"3.high","3.good","3.good","4.very high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2016,2008,0,12,3,2,1003,532,473,391,720,567,198,132,1.53,152,114,227,95,1269,133,18,324075,5113,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2017,1960,0,11,0,2,956,545,459,349,710,553,189,159,1.5,141,95,219,69,1295,119,22,347941,5570,"3.high","3.good","3.good","3.high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2018,1969,0,11,0,2,955,514,500,352,707,555,191,164,1.48,139,99,219,60,1313,119,20,401987,6089,"3.high","3.good","3.good","3.high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2019,1964,0,11,0,2,938,498,528,339,699,560,193,173,1.49,155,93,237,74,1276,108,21,434577,6690,"4.very high","3.good","3.good","4.very high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2020,1960,0,11,0,2,933,509,518,333,704,553,190,180,1.46,140,100,220,60,1300,120,20,494547,7165,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2015,386,0,1,4,1,69,49,268,149,102,75,48,12,1.29,15,11,70,7,272,7,4,240330,4913,"4.very high","3.good","4.very good","3.high","2.low","4.very high"
"A Centrum","Begijnhofbuurt",2016,321,0,0,0,0,8,21,292,100,80,52,34,55,1.22,7,7,60,0,242,3,2,258218,5258,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2017,380,0,1,3,0,50,45,285,132,100,75,48,25,1.28,14,11,72,7,265,7,4,334942,6003,"3.high","3.good","4.very good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2018,302,0,0,0,0,0,12,290,75,74,47,31,75,1.19,6,3,57,0,232,0,4,346312,6304,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2019,342,0,0,0,0,4,28,310,95,87,63,41,56,1.23,10,7,66,1,251,4,3,414317,6990,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2020,365,0,0,2,0,16,37,312,104,95,73,47,46,1.25,11,11,70,4,260,7,2,474238,7621,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","BG-terrein e.o.",2015,381,0,0,0,0,186,67,128,57,115,68,41,100,1.56,24,20,59,8,247,16,7,325158,3993,"3.high","3.good","3.good","2.low","2.low","4.very high"
"A Centrum","BG-terrein e.o.",2016,443,0,1,5,1,231,93,119,92,136,92,56,67,1.61,29,25,71,17,267,25,9,403687,4750,"4.very high","3.good","3.good","2.low","2.low","4.very high"
"A Centrum","BG-terrein e.o.",2017,404,0,0,2,0,191,75,138,60,123,79,48,94,1.57,28,20,65,8,255,20,8,433754,5177,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","BG-terrein e.o.",2018,366,0,0,0,0,152,59,155,28,110,66,40,122,1.53,23,15,61,4,240,15,8,464256,5607,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","BG-terrein e.o.",2019,399,0,0,1,0,173,72,154,44,121,79,48,107,1.56,26,21,66,9,251,18,8,528933,6270,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","BG-terrein e.o.",2020,372,0,0,0,0,144,60,168,20,112,70,43,127,1.53,23,19,62,4,240,16,8,564903,6737,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","Bloemgrachtbuurt",2015,1909,0,10,2,0,439,608,862,279,658,474,180,318,1.56,132,110,258,66,1208,108,27,330551,4325,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Bloemgrachtbuurt",2016,1905,0,10,0,0,442,633,830,277,654,470,184,320,1.53,135,115,250,58,1212,115,20,353820,4811,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Bloemgrachtbuurt",2017,1910,0,10,0,0,429,673,808,277,657,474,188,314,1.56,137,130,252,65,1189,116,21,400164,5494,"4.very high","3.good","3.good","3.high","2.low","4.very high"
"A Centrum","Bloemgrachtbuurt",2018,1882,0,9,0,0,408,622,852,248,646,463,179,346,1.5,139,99,258,40,1228,99,19,439720,5841,"4.very high","3.good","3.good","4.very high","2.low","4.very high"
"A Centrum","Bloemgrachtbuurt",2019,1934,0,10,0,0,469,633,832,280,660,479,193,322,1.51,156,118,249,70,1203,114,24,494614,6398,"4.very high","3.good","4.very good","4.very high","2.low","4.very high"
"A Centrum","Bloemgrachtbuurt",2020,1942,0,10,2,0,443,646,853,275,666,488,194,319,1.55,152,133,267,76,1180,114,20,565159,7140,"4.very high","3.good","3.good","4.very high","2.low","4.very high"
"A Centrum","Burgwallen Oost",2015,981,0,1,9,0,78,182,721,198,304,196,112,171,1.6,52,29,178,27,631,36,28,267918,3777,"3.high","3.good","3.good","2.low","2.low","3.high"
"A Centrum","Burgwallen Oost",2016,1057,0,2,14,1,144,222,691,256,332,210,130,129,1.66,67,48,190,48,619,57,28,327617,4519,"4.very high","3.good","3.good","2.low","2.low","3.high"
"A Centrum","Burgwallen Oost",2017,990,0,1,8,0,68,212,710,210,310,180,116,174,1.59,52,34,185,30,614,44,31,328568,4698,"4.very high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","Burgwallen Oost",2018,1016,0,1,10,0,95,203,718,216,318,196,122,164,1.61,59,39,187,30,631,39,31,404927,5491,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","Burgwallen Oost",2019,1001,0,1,7,0,98,186,717,209,315,182,120,175,1.57,51,28,181,25,653,38,25,436449,6091,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","Burgwallen Oost",2020,949,0,0,4,0,25,174,750,159,296,174,108,212,1.53,40,20,182,10,636,30,31,470171,6380,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","Czaar Peterbuurt",2015,1341,0,7,1,1,867,211,263,568,232,315,168,58,1.51,70,75,180,54,842,104,16,196464,3426,"3.high","3.good","3.good","3.high","4.very high","3.high"
"A Centrum","Czaar Peterbuurt",2016,1436,0,7,3,1,843,297,296,546,265,393,183,49,1.58,70,84,197,70,887,113,15,211502,3859,"3.high","3.good","3.good","3.high","4.very high","3.high"
"A Centrum","Czaar Peterbuurt",2017,1451,0,6,1,1,813,326,312,507,272,422,184,66,1.53,72,83,202,52,927,102,13,240673,4254,"3.high","3.good","3.good","3.high","3.high","3.high"
"A Centrum","Czaar Peterbuurt",2018,1439,0,7,3,1,832,297,310,535,266,396,185,57,1.58,71,85,212,56,889,113,13,309955,4974,"3.high","3.good","3.good","3.high","3.high","3.high"
"A Centrum","Czaar Peterbuurt",2019,1456,0,6,1,1,779,327,350,504,272,422,185,73,1.64,70,85,221,56,898,110,16,314169,5359,"3.high","3.good","3.good","3.high","3.high","3.high"
"A Centrum","Czaar Peterbuurt",2020,1343,0,5,0,0,737,255,351,459,234,362,164,124,1.47,60,60,196,15,920,75,17,360881,5766,"3.high","3.good","3.good","3.high","3.high","2.low"
"A Centrum","de Plantage",2015,1068,0,9,4,0,226,475,367,149,244,230,115,330,1.97,109,74,125,53,640,51,16,376731,4034,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","de Plantage",2016,1052,0,9,3,0,216,496,340,141,233,220,117,341,1.82,107,75,129,43,633,54,11,423883,4445,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","de Plantage",2017,1076,0,9,4,0,222,516,338,148,243,234,118,333,1.82,102,76,143,44,641,55,15,474726,5078,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","de Plantage",2018,1109,0,10,7,0,248,519,342,166,251,243,131,318,1.87,116,84,148,53,634,63,11,548256,5736,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","de Plantage",2019,1071,0,9,4,0,225,521,325,145,230,220,133,343,1.71,114,81,134,45,635,55,7,593795,6072,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","de Plantage",2020,1101,0,9,6,0,227,514,360,147,248,242,130,334,1.85,116,85,148,53,635,53,11,641641,6816,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Den Texbuurt",2015,534,0,13,1,1,112,216,206,20,103,131,43,237,1.99,62,56,67,26,286,22,15,454932,4247,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Den Texbuurt",2016,511,0,12,0,1,86,217,208,7,90,121,38,255,1.92,59,53,64,21,282,21,11,523732,4666,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Den Texbuurt",2017,548,0,13,0,1,105,241,202,24,101,138,47,238,1.96,60,65,71,22,294,26,10,577720,5451,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Den Texbuurt",2018,651,0,15,8,2,187,274,190,86,136,175,71,183,2.05,79,74,85,45,311,40,17,687728,6226,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Den Texbuurt",2019,554,0,13,0,1,104,235,215,24,99,136,49,246,1.9,64,58,67,27,297,26,15,733412,6293,"4.very high","3.good","4.very good","3.high","3.high","4.very high"
"A Centrum","Den Texbuurt",2020,545,0,13,0,1,85,228,232,3,100,138,48,256,1.94,66,61,72,22,292,22,10,734759,6990,"4.very high","3.good","4.very good","3.high","2.low","3.high"
"A Centrum","Driehoekbuurt",2015,1866,0,40,1,4,756,508,602,432,830,284,165,155,1.48,124,86,217,59,1259,99,22,257615,4347,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Driehoekbuurt",2016,1825,0,39,0,3,714,507,604,401,812,273,156,183,1.41,116,58,214,39,1281,97,20,249835,4813,"3.high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Driehoekbuurt",2017,1871,0,39,1,4,748,572,551,425,827,289,168,162,1.43,134,79,217,61,1251,112,17,318622,5558,"3.high","3.good","3.good","4.very high","2.low","4.very high"
"A Centrum","Driehoekbuurt",2018,1867,0,39,0,4,735,523,609,416,826,290,167,168,1.44,132,75,226,57,1264,94,19,366927,6056,"3.high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Driehoekbuurt",2019,1880,0,39,1,4,734,499,647,421,826,301,170,162,1.44,146,83,233,56,1247,100,15,386553,6654,"3.high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Driehoekbuurt",2020,1862,0,39,0,4,715,520,627,399,824,290,167,182,1.43,134,77,230,38,1267,96,20,460934,7142,"3.high","3.good","3.good","4.very high","2.low","3.high"
"A Centrum","Elandsgrachtbuurt",2015,2910,0,11,4,0,1008,722,1180,508,1208,563,291,340,1.47,212,142,329,68,1948,181,30,290125,4343,"3.high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Elandsgrachtbuurt",2016,2879,0,10,1,0,976,729,1174,461,1188,560,285,385,1.42,214,123,306,31,2021,153,31,292316,4737,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Elandsgrachtbuurt",2017,2925,0,11,4,0,1006,812,1107,492,1208,577,295,353,1.45,210,153,318,91,1942,170,41,353556,5424,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Elandsgrachtbuurt",2018,2952,0,11,6,0,1022,758,1172,495,1212,589,302,354,1.49,229,172,344,86,1920,172,29,423665,6077,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Elandsgrachtbuurt",2019,2934,0,11,4,0,1001,706,1227,449,1191,593,299,402,1.47,236,152,347,76,1919,165,39,440955,6526,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Elandsgrachtbuurt",2020,2911,0,11,2,0,972,739,1200,454,1198,576,294,389,1.44,210,150,330,60,1981,150,30,500002,7042,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Felix Meritisbuurt",2015,1429,0,4,10,0,115,563,751,106,362,281,183,497,1.47,159,92,205,47,847,54,25,481035,4522,"4.very high","3.good","4.very good","3.high","3.high","4.very high"
"A Centrum","Felix Meritisbuurt",2016,1383,0,3,5,0,70,540,773,70,336,259,174,544,1.35,150,75,165,30,902,45,16,550994,5280,"4.very high","3.good","4.very good","3.high","2.low","3.high"
"A Centrum","Felix Meritisbuurt",2017,1445,0,4,10,0,117,639,689,107,354,285,190,509,1.41,170,78,175,59,891,51,21,642108,6233,"4.very high","3.good","4.very good","3.high","2.low","4.very high"
"A Centrum","Felix Meritisbuurt",2018,1575,0,6,20,1,215,619,741,183,399,332,218,443,1.54,185,119,212,93,834,93,39,739893,7010,"4.very high","4.very good","4.very good","4.very high","2.low","4.very high"
"A Centrum","Felix Meritisbuurt",2019,1464,0,4,9,0,113,494,857,101,353,283,193,534,1.36,163,84,180,42,899,62,34,765595,7356,"4.very high","3.good","4.very good","3.high","2.low","3.high"
"A Centrum","Felix Meritisbuurt",2020,1490,0,5,12,0,129,582,779,114,371,302,200,503,1.45,169,98,197,70,857,70,29,796642,7841,"4.very high","3.good","4.very good","3.high","2.low","3.high"
"A Centrum","Frederikspleinbuurt",2015,540,0,29,3,0,110,235,195,14,171,106,84,165,1.78,65,50,65,28,305,18,9,434319,4466,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Frederikspleinbuurt",2016,590,0,30,6,1,152,252,186,49,186,120,97,138,1.74,67,56,67,34,337,22,7,525734,5304,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Frederikspleinbuurt",2017,550,0,30,3,0,108,255,187,14,171,105,92,168,1.64,66,47,55,25,337,17,3,548899,5791,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Frederikspleinbuurt",2018,570,0,30,4,0,121,242,207,23,179,114,94,160,1.71,66,50,66,28,332,22,6,613624,6347,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Frederikspleinbuurt",2019,550,0,29,2,0,107,210,233,13,172,103,87,175,1.65,59,46,62,26,337,18,2,677863,6893,"4.very high","3.good","4.very good","3.high","3.high","4.very high"
"A Centrum","Frederikspleinbuurt",2020,509,0,29,0,0,55,215,239,0,158,94,81,176,1.64,59,43,59,16,316,11,5,681982,7257,"4.very high","3.good","4.very good","4.very high","3.high","3.high"
"A Centrum","Haarlemmerbuurt Oost",2015,1036,0,12,0,2,356,234,446,141,385,252,108,150,1.47,79,54,114,37,685,49,18,305065,4193,"4.very high","3.good","4.very good","3.high","3.high","4.very high"
"A Centrum","Haarlemmerbuurt Oost",2016,1070,1,12,3,2,387,259,424,164,398,261,111,136,1.47,71,61,132,41,683,61,21,362208,4900,"4.very high","3.good","4.very good","3.high","2.low","4.very high"
"A Centrum","Haarlemmerbuurt Oost",2017,1037,2,12,0,2,349,259,429,140,388,249,107,153,1.39,70,55,119,33,694,52,14,391830,5421,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Haarlemmerbuurt Oost",2018,1038,1,12,0,2,346,244,448,131,387,251,105,164,1.43,73,52,126,31,692,52,12,444267,5904,"3.high","3.good","4.very good","3.high","2.low","4.very high"
"A Centrum","Haarlemmerbuurt Oost",2019,1045,2,12,0,2,357,243,445,132,389,250,98,176,1.44,66,50,143,35,688,50,13,491539,6448,"4.very high","3.good","4.very good","3.high","2.low","4.very high"
"A Centrum","Haarlemmerbuurt Oost",2020,1082,1,13,3,2,368,261,453,146,401,269,116,150,1.46,83,62,135,42,687,52,21,562224,7152,"4.very high","3.good","4.very good","3.high","2.low","3.high"
"A Centrum","Haarlemmerbuurt West",2015,1522,2,25,38,10,697,345,480,203,477,388,276,178,1.62,129,105,175,44,927,129,13,286195,4009,"3.high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Haarlemmerbuurt West",2016,1520,2,25,37,10,667,345,508,197,475,380,278,190,1.61,123,107,184,46,921,123,16,319549,4552,"3.high","3.good","3.good","3.high","3.high","4.very high"
"A Centrum","Haarlemmerbuurt West",2017,1532,2,25,38,10,676,383,473,196,478,385,282,191,1.63,132,105,205,57,894,123,16,374617,5203,"4.very high","3.good","4.very good","3.high","2.low","4.very high"
"A Centrum","Haarlemmerbuurt West",2018,1495,2,24,35,10,631,332,532,168,467,373,274,213,1.58,127,95,175,32,938,111,17,404486,5575,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Haarlemmerbuurt West",2019,1538,2,25,38,10,632,317,589,195,481,382,285,195,1.61,136,100,176,52,940,117,17,458741,6207,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Haarlemmerbuurt West",2020,1496,2,24,35,10,618,331,547,155,467,375,275,224,1.57,126,94,189,31,929,110,17,502044,6685,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Hemelrijk",2015,444,0,6,6,1,80,119,245,146,116,100,57,25,1.56,25,8,99,16,263,21,12,243442,4423,"3.high","3.good","3.good","2.low","2.low","3.high"
"A Centrum","Hemelrijk",2016,404,0,5,2,0,40,102,262,113,102,86,48,55,1.52,20,4,92,12,252,16,8,273027,4848,"3.high","3.good","3.good","2.low","2.low","3.high"
"A Centrum","Hemelrijk",2017,332,0,4,0,0,0,71,261,59,78,60,33,102,1.44,14,0,79,4,221,7,7,287135,5167,"3.high","3.good","3.good","2.low","2.low","2.low"
"A Centrum","Hemelrijk",2018,375,0,5,0,0,1,88,286,81,93,78,43,80,1.48,19,0,89,8,240,12,7,356651,5863,"3.high","3.good","3.good","2.low","2.low","2.low"
"A Centrum","Hemelrijk",2019,398,0,5,1,0,13,97,288,90,100,87,49,72,1.5,20,3,94,10,249,14,8,416189,6491,"3.high","3.good","3.good","2.low","2.low","2.low"
"A Centrum","Hemelrijk",2020,394,0,5,0,0,3,95,296,81,99,87,49,78,1.49,20,4,96,8,247,12,7,462996,7033,"3.high","3.good","3.good","2.low","1.very low","2.low"
"A Centrum","Het Funen",2015,563,0,32,1,18,177,334,52,54,2,35,209,263,2.38,54,107,72,63,225,38,4,363296,3773,"4.very high","4.very good","3.good","3.high","4.very high","4.very high"
"A Centrum","Het Funen",2016,546,0,32,0,18,165,335,46,50,0,29,204,263,2.41,56,101,73,56,220,34,6,396689,3961,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Het Funen",2017,563,0,32,1,18,176,348,39,54,2,35,209,263,2.45,58,104,81,61,218,29,12,439350,4509,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Het Funen",2018,498,0,31,0,17,111,314,73,5,0,13,194,286,2.36,49,93,71,44,208,27,6,471161,4912,"4.very high","4.very good","3.good","3.high","3.high","4.very high"
"A Centrum","Het Funen",2019,562,0,32,0,18,161,343,58,54,1,38,206,263,2.45,56,97,82,55,224,37,11,556762,5420,"4.very high","4.very good","4.very good","3.high","3.high","4.very high"
"A Centrum","Het Funen",2020,559,0,32,0,18,147,338,74,32,0,38,209,280,2.41,56,102,79,56,220,34,12,597455,6216,"4.very high","4.very good","4.very good","3.high","3.high","4.very high"
"A Centrum","Kadijken",2015,1647,0,36,1,1,885,495,267,137,479,529,204,298,1.7,164,111,165,76,1008,108,15,289738,3720,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Kadijken",2016,1743,0,37,9,2,974,554,215,204,510,561,224,244,1.8,187,140,187,109,965,140,15,361324,4403,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Kadijken",2017,1650,0,36,1,1,865,531,254,137,479,528,202,304,1.71,170,123,174,67,1000,105,11,349644,4453,"3.high","3.good","3.good","4.very high","3.high","3.high"
"A Centrum","Kadijken",2018,1590,0,35,0,0,833,488,269,90,460,506,191,343,1.64,157,105,157,35,1048,87,1,385452,5012,"3.high","3.good","3.good","3.high","3.high","3.high"
"A Centrum","Kadijken",2019,1652,0,36,1,1,919,516,217,134,480,525,206,307,1.7,185,108,176,68,995,105,15,456566,5784,"3.high","3.good","3.good","3.high","3.high","3.high"
"A Centrum","Kadijken",2020,1678,0,36,2,1,892,524,262,135,488,541,212,302,1.72,179,114,179,81,994,114,17,524161,6401,"3.high","3.good","3.good","4.very high","3.high","3.high"
"A Centrum","Kattenburg",2015,1016,0,16,0,0,840,131,45,338,93,123,426,36,1.67,117,83,78,36,625,68,9,240735,2893,"3.high","2.bad","3.good","3.high","3.high","4.very high"
"A Centrum","Kattenburg",2016,829,0,15,0,0,638,143,48,153,82,110,418,66,1.97,96,70,79,17,506,52,9,251911,3107,"3.high","2.bad","2.bad","3.high","3.high","3.high"
"A Centrum","Kattenburg",2017,785,0,16,0,0,575,155,55,83,93,123,426,60,2.14,100,68,90,25,429,58,15,319405,3723,"4.very high","3.good","3.good","3.high","4.very high","3.high"
"A Centrum","Kattenburg",2018,848,0,16,0,0,640,149,59,152,88,119,423,66,1.98,104,69,87,26,502,52,8,357912,4272,"3.high","2.bad","3.good","3.high","3.high","3.high"
"A Centrum","Kattenburg",2019,785,1,16,0,0,561,181,43,83,93,123,425,61,2.18,90,71,81,25,462,49,7,388136,4681,"3.high","2.bad","2.bad","2.low","3.high","3.high"
"A Centrum","Kattenburg",2020,798,0,15,0,0,584,126,88,106,71,102,413,106,1.92,96,61,79,9,500,44,9,431142,5215,"3.high","2.bad","2.bad","3.high","2.low","3.high"
"A Centrum","Kazernebuurt",2015,576,0,0,2,6,401,134,41,36,115,211,147,67,1.63,49,35,52,29,362,44,5,294444,3697,"3.high","3.good","3.good","3.high","3.high","4.very high"
"A Centrum","Kazernebuurt",2016,570,0,0,2,6,403,136,31,40,112,207,146,65,1.67,45,34,62,28,350,45,6,305875,3875,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Kazernebuurt",2017,573,0,0,2,6,398,140,35,36,112,209,147,69,1.7,45,31,80,25,337,49,6,339413,4243,"4.very high","3.good","3.good","4.very high","3.high","3.high"
"A Centrum","Kazernebuurt",2018,588,0,0,3,6,403,142,43,39,117,216,151,65,1.68,51,34,69,29,354,46,5,411615,5040,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Kazernebuurt",2019,572,0,0,2,6,397,137,38,36,111,209,147,69,1.68,47,30,67,24,362,38,4,435058,5383,"4.very high","3.good","3.good","3.high","2.low","4.very high"
"A Centrum","Kazernebuurt",2020,568,0,0,1,6,373,133,62,13,110,211,148,86,1.65,46,29,70,23,354,41,5,499687,6084,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Kop Zeedijk",2015,786,0,2,9,1,143,173,470,170,283,175,88,70,1.44,52,22,133,22,504,37,16,231705,3911,"3.high","3.good","3.good","2.low","2.low","3.high"
"A Centrum","Kop Zeedijk",2016,748,0,1,5,0,104,156,488,139,270,162,80,97,1.4,44,15,133,15,496,30,15,262055,4341,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","Kop Zeedijk",2017,740,0,1,5,0,83,170,487,121,256,171,80,112,1.38,49,11,122,11,494,33,20,311319,4733,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","Kop Zeedijk",2018,743,0,1,5,0,85,153,505,123,268,163,80,109,1.39,45,15,134,7,498,30,14,356885,5432,"3.high","3.good","3.good","2.low","1.very low","2.low"
"A Centrum","Kop Zeedijk",2019,742,0,1,4,0,85,134,523,122,279,153,80,108,1.39,40,14,143,10,497,24,14,400951,6120,"3.high","3.good","3.good","1.very low","1.very low","2.low"
"A Centrum","Kop Zeedijk",2020,739,0,1,4,0,68,150,521,107,267,163,81,121,1.38,44,15,133,7,495,30,15,452286,6527,"3.high","3.good","3.good","2.low","1.very low","2.low"
"A Centrum","Langestraat e.o.",2015,1162,0,51,3,0,81,544,537,124,217,200,137,484,1.57,136,75,160,35,693,42,21,494103,4468,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Langestraat e.o.",2016,1193,0,52,4,0,111,547,535,146,221,210,140,476,1.59,151,81,151,46,707,46,11,604274,5538,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Langestraat e.o.",2017,1166,0,52,3,0,83,599,484,126,214,203,134,489,1.57,138,82,148,37,711,39,11,653594,6209,"4.very high","3.good","4.very good","4.very high","2.low","4.very high"
"A Centrum","Langestraat e.o.",2018,1157,0,51,1,0,66,530,561,110,209,199,133,506,1.55,142,71,153,35,708,35,13,684583,6529,"4.very high","3.good","4.very good","4.very high","2.low","4.very high"
"A Centrum","Langestraat e.o.",2019,1184,0,52,0,0,91,467,626,125,210,205,135,509,1.55,152,80,144,34,726,39,9,779135,7380,"4.very high","3.good","4.very good","4.very high","2.low","4.very high"
"A Centrum","Langestraat e.o.",2020,1198,0,52,3,0,85,546,567,123,222,216,143,494,1.58,150,81,161,46,703,46,11,801275,7768,"4.very high","3.good","4.very good","4.very high","2.low","4.very high"
